title,year,album,artist,lyrics,lyricist,metaphors
වලා තීරයෙන් එහා,2020,ඉහළම සිංහල ගීත VOL. A (සජීවී),ටී එම් ජයරත්න,"වලා තීරයෙන් එහා
කොහේද ලෝකයක්
සොයා ඇදෙන් පැතුම් බිඟුන්
අපේම ලෝකයක්
අපේම ලෝකයක්

වලා තීරයෙන් එහා
කොහේද ලෝකයක්
සොයා ඇදෙන් පැතුම් බිඟුන්
අපේම ලෝකයක්
අපේම ලෝකයක්

තරංගයක් ලෙසින් ඇදී
බිඳී නොයන් සිතින්
වසන්තයක් ලෙසින් උදාව
එන්න ජීවිතෙන්

වලා තීරයෙන් එහා
කොහේද ලෝකයක්
සොයා ඇදෙන් පැතුම් බිඟුන්
අපේම ලෝකයක්
අපේම ලෝකයක්

සිහිල් සහන් සුසුම් සරින්
පවන් රොදක් ලෙසින්
නැවුම් පැතුම් අරන් වඩින්න
පෙම් උයන් දොරින්

වලා තීරයෙන් එහා
කොහේද ලෝකයක්
සොයා ඇදෙන් පැතුම් බිඟුන්
අපේම ලෝකයක්
අපේම ලෝකයක්",කුලරත්න ආරියවංශ,"[{""songPart"":""වලා තීරයෙන් එහා"",""interpretaion"":""ඇත්තක් නොවෙන ලොවක්"",""type"":""ව්යංග රූපකය"",""sourceDomain"":""අහස"",""targetDomain"":""ෆැන්ටසිය""},{""songPart"":""තරංගයක් ලෙසින්"",""interpretaion"":""නොදැනෙන ලෙස"",""type"":""ව්යංග රූපකය"",""sourceDomain"":""තරංගය"",""targetDomain"":""නොදැනීම""}]"
අන්දර යායේ,2017,අන්දර යායේ,කරුණාරත්න දිවුල්ගනේ,"අන්දර යායේ වැව්තාවුල්ලේ
සක්මන් කරනා අප්පච්චී
දොලේ දියයි මට කෙතේ නිලයි
ගහ වැලේ මලයි මට අප්පච්චී

අන්දර යායේ වැව්තාවුල්ලේ
සක්මන් කරනා අප්පච්චී
දොලේ දියයි මට කෙතේ නිලයි
ගහ වැලේ මලයි මට අප්පච්චී

වළාකුලේ දා බිදු තවරා
මහපොළවට මහ වැසි ගෙනෙනා
වළාකුලේ දා බිදු තවරා
මහපොළවට මහ වැසි ගෙනෙනා
දිවි ගමනේ ඉම කදුමුදුනේ හිද
පිතු සෙනෙහේ කඳුලැලි සලනා

අන්දර යායේ වැව්තාවුල්ලේ
සක්මන් කරනා අප්පච්චී
දොලේ දියයි මට කෙතේ නිලයි
ගහ වැලේ මලයි මට අප්පච්චී

තුරු හිස මුදුනේ මල් ඵලදා
කැකුළු මුවට ඵල වැල නෙලුවා
තුරු හිස මුදුනේ මල් ඵලදා
කැකුළු මුවට ඵල වැල නෙලුවා
ඒ දඬු මං බැද සත්කුළු පව් බිද
සිදාදියට යන මං තැනුවා

අන්දර යායේ වැව්තාවුල්ලේ
සක්මන් කරනා අප්පච්චී
දොලේ දියයි මට කෙතේ නිලයි
ගහ වැලේ මලයි මට අප්පච්චී",කුමාර ලියනගේ,"[{""songPart"":""දොලේ දියයි මට කෙතේ නිලයි\nගහ වැලේ මලයි මට අප්පච්චී"",""type"":""විස්තීරණ රූපකය"",""sourceDomain"":""දොලේ දියයි, කේත, ගස් වැල්"",""targetDomain"":""අප්පච්චී"",""interpretation"":""මුළු පරිසරයම තමන්ට අප්පච්චී බව""},{""songPart"":""කැකුළු මුවට ඵල වැල නෙලුවා"",""type"":""දෘෂ්ය රූපකය"",""sourceDomain"":""කැකුළු මුවට"",""targetDomain"":""පුංචි පුතුට"",""interpretation"":""පුංචි පුතු පෝෂණය ක බව""},{""songPart"":""ඒ දඬු මං බැද සත්කුළු පව් බිද\nසිදාදියට යන මං තැනුවා"",""type"":""ව්යංග රූපකය"",""sourceDomain"":""සත්කුළු පව්"",""targetDomain"":""දැනුම"",""interpretation"":""පුතුට හොදට අධ්‍යපනය ලබා දුන් බව""}]"
රෝස තොල් සිඹිමි,2022,හොඳම යමුනා මාලිනී වෙළුම 01,"ගුණදාස කපුගේ, කරුණාරත්න දිවුල්ගනේ, යමුනා මාලිනී පෙරේරා","රෝස තොල් සිඹිමි තොල් මත කඳුලු බිඳු රැඳෙයි
ඔබ ආදරේ කියාදුන්නෙත් ඒ වගේ තමයි
මේ රැයයි සඳයි හරියට ඒ ඔබයි මමයි
හීනයක් වගෙයි මගෙ සිත පාරවයි රිදෙයි

පිච්ච මල් පිපී යහනේ සුවඳ මා දවයි
එක්ව කී කතා දෙසවන දෝංකාර දෙයි
ඔබ උන්නු තැන හදේ තාමත් හරිම උණුසුමයි
ඉවසන්න බැරි තවම ඔබගේ වෙන්ව යාමමයි

රෝස තොල් සිඹිමි තොල් මත කඳුලු බිඳු රැඳෙයි
ඔබ ආදරේ කියාදුන්නෙත් ඒ වගේ තමයි
මේ රැයයි සඳයි හරියට ඒ ඔබයි මමයි
හීනයක් වගෙයි මගෙ සිත පාරවයි රිදෙයි

අඳුර ඉකි ගසයි සුසුමින් තරු නිවා දමයි
සොඳුර නුඹ ලඟින් නැතුවත් හිතට උණුසුමයි
කඳුලු බිඳු නැගී ඉඳහිට නෙතට අතවනයි
සිනාසෙමි නමුත් මේ උණු කඳුලු මගෙ නොවෙයි

රෝස තොල් සිඹිමි තොල් මත කඳුලු බිඳු රැඳෙයි
ඔබ ආදරේ කියාදුන්නෙත් ඒ වගේ තමයි
මේ රැයයි සඳයි හරියට ඒ ඔබයි මමයි
හීනයක් වගෙයි මගෙ සිත පාරවයි රිදෙයි",කරුණාරත්න දිවුල්ගනේ,"[{""songPart"":""රෝස තොල් සිඹිමි තොල් මත කඳුලු බිඳු රැඳෙයි"",""type"":""ව්යංග රූපකය"",""sourceDomain"":""කඳුලු බිඳු"",""targetDomain"":""දුක"",""interpretation"":""දුකින් කරන සිප ගැනීමක් බව""},{""songPart"":""ඔබ උන්නු තැන හදේ තාමත් හරිම උණුසුමයි"",""type"":""ව්යංග රූපකය"",""sourceDomain"":""උණුසුමයි"",""targetDomain"":""මතක් වෙයි"",""interpretation"":""ඔබව තවමත් මතක් වෙන බව""},{""songPart"":""අඳුර ඉකි ගසයි සුසුමින් තරු නිවා දමයි"",""type"":""දෘෂ්ය රූපකය"",""sourceDomain"":""අඳුර ඉකි ගසයි"",""targetDomain"":""රෑට අඩනවා"",""interpretation"":""රෑට ඇස්වල කදුළු පිරෙනකන් අඩන බව""}]"
ඔබට වරම් නැති,2021,නෙතට උලෙලක්,කරුණාරත්න දිවුල්ගනේ,"ඔබට වරම් නැති
මටද වරම් නැති
සෙනෙහස කොතැනද
සැඟව ගියේ
ඉවත ගලා ගිය
කඳුලක දිය වී
ප්රථම ප්රේමයයි බොඳව ගියේ

ඔබට වරම් නැති
මටද වරම් නැති
සෙනෙහස කොතැනද
සැඟව ගියේ
ඉවත ගලා ගිය
කඳුලක දිය වී
ප්රථම ප්රේමයයි බොඳව ගියේ

ඔහුට පුදන්නට පූජාසනයේ
නොකිළිටි මල්
පිපුණිද ලඳුනේ
පෙති ගිලිහී ගිය
පරසතු කුසුමක
සුවඳ කොහේ
කොතැනද රැදුනේ

ඔබට වරම් නැති
මටද වරම් නැති
සෙනෙහස කොතැනද
සැඟව ගියේ
ඉවත ගලා ගිය
කඳුලක දිය වී
ප්රථම ප්රේමයයි බොඳව ගියේ

ආ මඟ වැරදී
ඔහුද ඔබද මා
දෛවයේ තුන්මංසල හමුවේ
බලා හිඳිනු මිස
හඬා වැටෙන්නට
කඳුලක් නෑ දෙනුවන පිපුනේ

ඔබට වරම් නැති
මටද වරම් නැති
සෙනෙහස කොතැනද
සැඟව ගියේ
ඉවත ගලා ගිය
කඳුලක දිය වී
ප්රථම ප්රේමයයි බොඳව ගියේ",රංජිත් රූබසිංහ,"[{""songPart"":""සෙනෙහස කොතැනද\nසැඟව ගියේ"",""type"":""මිශ්‍ර රූපකය"",""sourceDomain"":""සැඟව ගියේ"",""targetDomain"":""හැරදා ගොස්"",""interpretation"":""ඇය තමාව හැරදා ගිය බව""},{""songPart"":""ප්රථම ප්රේමයයි බොඳව ගියේ"",""type"":""ව්යංග රූපකය"",""sourceDomain"":""බොඳව යාම"",""targetDomain"":""සම්බන්ධය නතර වීම"",""interpretation"":""මලමු ප්‍රේම සම්බන්ධය නතර වීම""},{""songPart"":""නොකිළිටි මල්"",""type"":""සම්මත රූපකය"",""sourceDomain"":""මල්"",""targetDomain"":""ගැහැණු ළමයි"",""interpretation"":""පිරිසිදු ගැහැණු ළමයි""},{""songPart"":""පෙති ගිලිහී ගිය\nපරසතු කුසුමක"",""type"":""ව්යංග රූපකය"",""sourceDomain"":""පෙති ගිලිහී ගිය"",""targetDomain"":""පාරිශුද්ධත්වය නැති වූ"",""interpretation"":""පාරිශුද්ධත්වය නැති වූ අන්සතු ගැහැණිය""}]"
ඔබ මා හමුවුන මේ ඉර හඳ යට,2021,අන්ප්ලග්ගේඩ් (සජීවී),කරුණාරත්න දිවුල්ගනේ,"ඔබ මා හමුවුන මේ ඉර හඳ යට
කොතැනක සිටියත් මා මළ දවසට
මගෙ ළඟ තනියට ඉනු මැනවී
මගෙ ළඟ තනියට ඉනු මැනවී

ඔබ මා හමුවුන මේ ඉර හඳ යට
කොතැනක සිටියත් මා මළ දවසට
මගෙ ළඟ තනියට ඉනු මැනවී

මගෙ ළඟ තනියට ඉනු මැනවී

ඔබ සිත මා සිත හමු වූ දා සිට
මා ළය පීදී පරවූ පෙම් මල

ඔබ සිත මා සිත හමු වූ දා සිට
මා ළය පීදී පරවූ පෙම් මල
සිතින් තුරුළු කර මා මළ දවසට
මගෙ ළඟ තනියට ඉනු මැනවී

මගෙ ළඟ තනියට ඉනු මැනවී
ඔබ මා හමුවුන මේ ඉර හඳ යට
කොතැනක සිටියත් මා මළ දවසට
මගෙ ළඟ තනියට ඉනු මැනවී

මගෙ ළඟ තනියට ඉනු මැනවී
කඳුල සුසුම නොහෙලා නොදොඩා අපි
මිරිඟු සයුර වෙත පියමන් කල සැටි
කඳුල සුසුම නොහෙලා නොදොඩා අපි
මිරිඟු සයුර වෙත පියමන් කල සැටි
සිතින් දරාගෙන මා මළ දවසට
මගෙ ළඟ තනියට ඉනු මැනවී
මගෙ ළඟ තනියට ඉනු මැනවී
ඔබ මා හමුවුන මේ ඉර හඳ යට
කොතැනක සිටියත් මා මළ දවසට
මගෙ ළඟ තනියට ඉනු මැනවී
මගෙ ළඟ තනියට ඉනු මැනවී",කරුණාරත්න දිවුල්ගනේ,"[{""songPart"":""මා ළය පීදී පරවූ පෙම් මල"",""type"":""දෘෂ්ය රූපකය"",""sourceDomain"":""පෙම් මල"",""targetDomain"":""ආදර හැගුම"",""interpretation"":""මගේ හදවතේ ඇතිවී නැතිවී ගිය අදර හැගුම""},{""songPart"":""මිරිඟු සයුර වෙත පියමන් කල සැටි"",""type"":""දෘෂ්ය රූපකය"",""sourceDomain"":""මිරිඟු සයුර"",""targetDomain"":""කිසිදා ඉටුනොවන අදර සම්බන්දය"",""interpretation"":""කිසිදා ඉටුනොවන අදර සම්බන්දය ඇතිකරගත් බව""}]"
අතිතය සිහිනයක් පමණයි,2021,අන්ප්ලග්ගේඩ් (සජීවී),කරුණාරත්න දිවුල්ගනේ,"අතිතය සිහිනයක් පමණයි
සෑබෑ සුවදක් නෑ
එදා සෙනෙහෙන් නොබැදුනා නම්
මෙදා වියොවක් නෑ
අතිතය සිහිනයක් පමණයි
සෑබෑ සුවදක් නෑ
එදා සෙනෙහෙන් නොබැදුනා නම්
මෙදා වියොවක් නෑ

තැනූ මන්දිර බිදී වැටුනත්
නෙතේ කදුලක් නෑ
සිනහා වෙන්නට වරම් නොලදත්
හිතේ කිලුටක් නෑ

අතිතය සිහිනයක් පමණයි
සෑබෑ සුවදක් නෑ
එදා සෙනෙහෙන් නොබැදුනා නම්
මෙද වියොවක් නෑ

සොබාදහමට නොවන අවනත
ලොවේ කිසිවක් නෑ
ලොවේ පැරදුම මිසක කිසිදා
ලැබූ දිනුමක් නෑ

අතිතය සිහිනයක් පමණයි
සෑබෑ සුවදක් නෑ
එදා සෙනෙහෙන් නොබැදුනා නම්
මෙද වියොවක් නෑ",කරුණාරත්න දිවුල්ගනේ,"[{""songPart"":""තැනූ මන්දිර බිදී වැටුනත්"",""type"":""දෘෂ්ය රූපකය"",""sourceDomain"":""මන්දිර"",""targetDomain"":""බලාපොරොත්තු"",""interpretation"":""ඇතිකරගත් බලාපොරොත්තු සුන් වී ගිය බව""},{""songPart"":""නෙතේ කදුලක් නෑ"",""type"":""දෘෂ්ය රූපකය"",""sourceDomain"":""කදුලක්"",""targetDomain"":""දුක"",""interpretation"":""දුකක් නැ""},{""songPart"":""හිතේ කිලුටක් නෑ"",""type"":""දෘෂ්ය රූපකය"",""sourceDomain"":""කිලුටක්"",""targetDomain"":""ආසාවක්"",""interpretation"":""හිතේ කිසිම ආසාවක් නැති බව""}]"
දස්කොන් ප්‍රමිලා,2017,අන්දර යායේ,"කරුණාරත්න දිවුල්ගනේ, සමිතා මුදුන්කොටුව","සක්මන් කරන මළුව පාළුයි දේවී
මං විතරවි ඔබ කිසි දිනක නොඒවී
ඉක්මන් ගමන් එපා පා පැකිලේවී
දස්කොන් සකිසඳ මා ඔබේ කුමාරී...

සෙංකඩගල වට කළ පවුරු වළල්ලේ
පෙම් ගී ගැයු විහඟුන් හැපී වැටෙන්නේ
සෙංකඩගල වට කළ පවුරු වළල්ලේ
පෙම් ගී ගැයු විහඟුන් හැපී වැටෙන්නේ

රන් තරු දෑස පියන රෑ හඳ පානේ
අත්තන මලක් වෙලා ඔබ ළඟ ඉන්නේ...

සක්මන් කරන මළුව පාළුයි දේවී
මං විතරවි ඔබ කිසි දිනක නොඒවී
ඉක්මන් ගමන් එපා පා පැකිලේවී
දස්කොන් සකිසඳ මා ඔබේ කුමාරී...

වාසල මිණි බැඳි දොර හරින වෙලාවේ
දෑසින් වැටෙන කඳුළු මට සිහි නොවුණේ
වාසල මිණි බැඳි දොර හරින වෙලාවේ
දෑසින් වැටෙන කඳුළු මට සිහි නොවුණේ

ඒ ආදරය ගියත් ඉක්මන් ගමනේ
මා තනි කරන්නෙපා මතු සංසාරේ...

සක්මන් කරන මළුව පාළුයි දේවී
මං විතරවි ඔබ කිසි දිනක නොඒවී
ඉක්මන් ගමන් එපා පා පැකිලේවී
දස්කොන් සකිසඳ මා ඔබේ කුමාරී...",රත්න ශ්‍රී විජේසිංහ,"[{""songPart"":""සක්මන් කරන මළුව පාළුයි දේවී"",""type"":""දෘෂ්ය රූපකය"",""sourceDomain"":""සක්මන් කරන මළුව"",""targetDomain"":""ගෙදර"",""interpretation"":""තමන් ගෙදර පාලුවෙන් සිටින බව""},{""songPart"":""රන් තරු දෑස පියන රෑ හඳ පානේ"",""type"":""දෘෂ්ය රූපකය"",""sourceDomain"":""තරු දෑස පියන"",""targetDomain"":""තරු නොපෙනන තරමට හද එලිය ඇති රැය"",""interpretation"":""හද එළියෙන් තරු එලිය නොපෙනන බව""},{""songPart"":""පෙම් ගී ගැයු විහඟුන් හැපී වැටෙන්නේ"",""type"":""ව්යංග රූපකය"",""sourceDomain"":""විහඟුන් හැපී වැටෙන්නේ"",""targetDomain"":""බලාපොරොත්තු කඩා වැටීම"",""interpretation"":""ආදර බලාපොරොත්තු සුන් වූ බව""}]"
ගමට කලින් හිරු,2017,අන්දර යායේ,කරුණාරත්න දිවුල්ගනේ,"ගමට කලින් හිරු මුළුතැන්ගෙට වඩනා
ඒ හිරු එළියේ නැණ මල් පොඩි පිපුණා
ඒ මල් සුවඳේ අද ලොව්තුරු සුව විඳිනා
කලා වැවේ නිල් දියවර අපෙ අම්මා

රෑ කළුවර අරගෙන දරුවන් එනතුරු
සිත නෑ නිවන් දකින්නේ...
රෑ කළුවර ඇවිදින් ඉකිබිඳ හැඬුවත්
නෙත නෑ නිදි විඳ ගන්නේ...
හෙට අරුණට සැරසෙන තව දවසක් ගැන
නින්දේ සිහින දකින්නේ...
මහමායාවෙනි කවදාදෝ ඔය නෙත්
දරු සෙනෙහසින් මිදෙන්නේ...

වෙල් දෙණි වල ඇවිදින දෙපා රිදෙන විට
විහඟ ගීත බණ පද වේවා...
බෝ මළුවක ඇවිලෙන පහන් වැටක් සේ
තුන් සිත නිවී සැදේවා...
මතු උපදින සසරේ විසාකාව වී
මෙත් මග නෙත් හමු වේවා...
ඇත් රැජිණියනේ ඔබෙ නැලැවිළි ගීතය
ලොවම නිවන කවියක් වේවා...

ගමට කලින් හිරු...........",සුනිල් දයානන්ද කෝනාර,"[{""songPart"":""ගමට කලින් හිරු මුළුතැන්ගෙට වඩනා"",""type"":""සම්මත රූපකය"",""sourceDomain"":""හිරු"",""targetDomain"":""අම්ම"",""interpretation"":""හිරු උදාවෙන්න පෙර අම්ම අවදි වෙන බව""},{""songPart"":""නැණ මල් පොඩි"",""type"":""සම්මත රූපකය"",""sourceDomain"":""මල්"",""targetDomain"":""දරුවන්"",""interpretation"":""පොඩි දරුවන්""},{""songPart"":""සිත නෑ නිවන් දකින්නේ"",""type"":""දෘෂ්ය රූපකය"",""sourceDomain"":""නිවන්"",""targetDomain"":""නිදහසක්"",""interpretation"":""සිතට නිදහසක් නැ""},{""songPart"":""මහමායාවෙනි කවදාදෝ ඔය නෙත්\nදරු සෙනෙහසින් මිදෙන්නේ"",""type"":""සම්මත රූපකය"",""sourceDomain"":""මහාමායව"",""targetDomain"":""අම්ම"",""interpretation"":""අම්මගේ දරු සෙනෙහස නිමක් නැති බව""}]"
ආදරය සුන්දර වරදකි,2017,අන්දර යායේ,කරුණාරත්න දිවුල්ගනේ,"ආදරය සුන්දර වරදකි
කිසිදා සමාවක් නම් නැති
මට පෙන්නලා ආලේ හැටි
නුඹ දුන්නු දුක හොඳටම ඇති

ආදරය සුන්දර වරදකි
කිසිදා සමාවක් නම් නැති
මට පෙන්නලා ආලේ හැටි
නුඹ දුන්නු දුක හොඳටම ඇති

ඉඳුවර නුවන් දෑලේ වැටී පෑහී
බැහැරී වෙලී උන්මාද වූයේ මා
වෙනකෙකු දිහා බැලුමට යලිත්
මට නෙත් නැතැයි කෙඳිරුවේ කවුරුන්දෝ

ආදරය සුන්දර වරදකි
කිසිදා සමාවක් නම් නැති
මට පෙන්නලා ආලේ හැටි
නුඹ දුන්නු දුක හොඳටම ඇති

පුළුලුරුතලා වීණා බඳින් දැවටී
රතැඟිලි බැඳී නින්නාදයේ අනුරා
හද ස්වර පවා කම්පිත වෙවී
මට මා පවා නැති කලේ කවුරුන්දෝ

ආදරය සුන්දර වරදකි
කිසිදා සමාවක් නම් නැති
මට පෙන්නලා ආලේ හැටි
නුඹ දුන්නු දුක හොඳටම ඇති

ආදරය සුන්දර වරදකි
කිසිදා සමාවක් නම් නැති
මට පෙන්නලා ආලේ හැටි
නුඹ දුන්නු දුක හොඳටම ඇති",යමුනා මාලනී පෙරේරා,"[{""songPart"":""ඉඳුවර නුවන්"",""type"":""සම්මත රූපකය"",""sourceDomain"":""ඉඳුවර නුවන්"",""targetDomain"":""කාන්තිමත් ඇස්"",""interpretation"":""කාන්තිමත් ඇස්""},{""songPart"":""හද ස්වර පවා කම්පිත වෙවී"",""type"":""ව්යංග රූපකය"",""sourceDomain"":""හද ස්වර"",""targetDomain"":""හදවතේ ස්පන්ධනය"",""interpretation"":""හදවතේ ස්පන්ධනය කම්පා කල බව""}]"
ඔබ ඇපල් මලක් වාගේ,2021,අමරසිරි පීරිස් ගීත,අමරසිරි පීරිස්,"ඔබ ඇපල් මලක් වාගේ
ලස්සන වසන්ත කාලේ
මට හදිස්සියෙන් වාගේ හමු වූ

පායන්න දෑස මානේ
උනුහුමට ගින්දරී
ගෙනියන්න මාගෙ ගානේ මේ හිතම සුන්දරී
දිගු දෑසෙ බැල්ම ඔබගේ
ඇයි සොදුරු ඔය හැටී

ඔබ ඇපල් මලක් වාගේ
ලස්සන වසන්ත කාලේ
මට හදිස්සියෙන් වාගේ හමු වූ

ඇස් පියෙන් අදී කෑලි කැපෙන රලු රාත්රියේ
කීරි ගැහෙන සිත අනුහස අයදී ප්රේමයේ
එය පමනක් ශේශය වී නම් පූර්වාත්මයේ
ඔබ ගැවසෙන මා හිත අවිනීතයි
අවනත නැති නෙතටද අවිවේකයි
හුදෙකලාව අවනඩුවක්... ගෑනු ළමයෝ

ඔබ ඇපල් මලක් වාගේ
ලස්සන වසන්ත කාලේ
මට හදිස්සියෙන් වාගේ හමු වූ

ඉටි රූපෙ අපූරුව විදින්න මන් හරි ආසයි
පින්තූරෙ වගේ ඔබ හිනැහෙනකොට මට ලෝබයි
අහිතක් හිතන්නෙ නැති නම් මන් හරි ආදරෙයි
කියාගන්න බැරි කමින් හිත බරයි
ඊයේ අද මෙන් හෙටත් එහෙම වෙයි
හුදෙකලාව අවනඩුවක්... ගෑනු ළමයෝ

ඔබ ඇපල් මලක් වාගේ
ලස්සන වසන්ත කාලේ
මට හදිස්සියෙන් වාගේ හමු වූ

පායන්න දෑස මානේ
උනුහුමට ගින්දරී
ගෙනියන්න මාගෙ ගානේ මේ හිතම සුන්දරී
දිගු දෑසෙ බැල්ම ඔබගේ
ඇයි සොදුරු ඔය හැටී

ඔබ ඇපල් මලක් වාගේ
ලස්සන වසන්ත කාලේ
මට හදිස්සියෙන් වාගේ හමු වූ",කැළුම් ශ්‍රීමාල්,"[{""songPart"":""ඔබ ඇපල් මලක් වාගේ"",""type"":""සම්මත රූපකය"",""sourceDomain"":""ඇපල් මලක්"",""targetDomain"":""ලස්සන"",""interpretation"":""පෙම්වතිය ලස්සන බව""},{""songPart"":""පායන්න දෑස මානේ"",""type"":""ව්යංග රූපකය"",""sourceDomain"":""පායන්න"",""targetDomain"":""පැමිණෙන්න"",""interpretation"":""මා ලගට පැමිණෙන්න""}]"
සොඳුරිය කාලය කොතරම් නපුරුද,2001,ස්නේහයේ නගරය,අමරසිරි පීරිස්,"සොඳුරිය කාලය කොතරම් නපුරුද
දිවි හිමියෙන් කදුළැළි පුරවා ගෙන
රැකගත් ආලය උදුරා ගෙන ගිය
කාලය කොතරම් නපුරුද සොඳුරිය

පෙරුම් පුරා දුක සේ ගලපා ගත්
කවිය ඔබම වී නැළවුන යුගයක
හද රැඳි ඔබ රුව සිහිනෙක වත් නැත
ඒ රුව කොතරම් මිහිරි ද සොඳුරිය

සොඳුරිය කාලය කොතරම් නපුරුද
දිවි හිමියෙන් කදුළැළි පුරවා ගෙන
රැකගත් ආලය උදුරා ගෙන ගිය
කාලය කොතරම් නපුරුද සොඳුරිය

ලොවට හොරා විළි ලා බිහි කරගත්
වසන්තයේ සඳ මියැදුන දවසක
බෙදා හදා ගත් දුක වත් අද නැත
ඒ දුක කොතරම් මිහිරි ද සොඳුරිය

සොඳුරිය කාලය කොතරම් නපුරුද
දිවි හිමියෙන් කදුළැළි පුරවා ගෙන
රැකගත් ආලය උදුරා ගෙන ගිය
කාලය කොතරම් නපුරුද සොඳුරිය",සමන්ත හේරත්,"[{""songPart"":""දිවි හිමියෙන් කදුළැළි පුරවා ගෙන"",""type"":""ව්යංග රූපකය"",""sourceDomain"":""කදුළැළි"",""targetDomain"":""දුක"",""interpretation"":""දුකින් පිරුණු ජීවිතය""},{""songPart"":""කවිය ඔබම වී නැළවුන යුගයක"",""type"":""දෘෂ්ය රූපකය"",""sourceDomain"":""කවිය"",""targetDomain"":""ජීවිතය"",""interpretation"":""මුළු ජිවිතයම ඔබම බව""},{""songPart"":""වසන්තයේ සඳ මියැදුන දවසක"",""type"":""දෘෂ්ය රූපකය"",""sourceDomain"":""වසන්තයේ සඳ"",""targetDomain"":""ආදරය"",""interpretation"":""ආදරය නැති උන දවසක""}]"
මලක් උනේ ඇයි ඔබ මට,2021,අමරසිරි පීරිස් ගීත,අමරසිරි පීරිස්,"මලක් උනේ ඇයි ඔබ මට
ජීවිතයට සුවඳ සලන
එනමුදු සිප ගන්නට තහනම්...

විලක් උනේ ඇයි ඔබ මට
ජීවිතයට සිසිල ඉසින
දිය දෝතක් බොන්නට තහනම්...

පහන් තාරකාවක් සේ ජීවිතයට මග කීවද...
ඒ එළියෙන් මහද පහන් දල්වනු කෙලෙසින්...

සහන් ගීතිකාවක් සේ ජීවිතයේ ගිම් නිවුවද...
ඒ ගීයේ සොඳුරු වදන් මුමුණනු කෙලෙසින්...",සමන් අතාවුදහෙට්ටි,"[{""songPart"":""ජීවිතයට සුවඳ සලන"",""type"":""ව්යංග රූපකය"",""sourceDomain"":""සුවඳ"",""targetDomain"":""සතුට"",""interpretation"":""ජිවිතයට සතුට ගෙනදෙන""},{""songPart"":""ජීවිතයට සිසිල ඉසින"",""type"":""ව්යංග රූපකය"",""sourceDomain"":""සිසිල"",""targetDomain"":""සතුට"",""interpretation"":""ජිවිතයට සතුට ගෙනදෙන""}]"
ඇය යන්න ගියා,2001,ස්නේහයේ නගරය,අමරසිරි පීරිස්,"ඇය යන්න ගියා මැකිලා
වන සිරසක තුරු සෙවනැලි අතරෙ
ගී ගයමින් හිඳ මා තුරුලේ
ඇය යන්න ගියා මැකිලා
ඇය යන්න ගියා මැකිලා
පිණි කඳුලක් මල් පෙති අග තවරා
මිහිදුම් සළුවෙන් මුහුණ වසා

නිල්ල නෙලන නිල් කඳු වැටි අතරේ
සඳ එළියේ මන්පෙත පා... දා...
රහසක් සඟවා
ගොලු වූ හදකින්
යන්න ගියා මැකිලා
ඇය යන්න ගියා මැකිලා
වන සිරසක තුරු සෙවනැලි අතරෙ
ගී ගයමින් හිඳ මා තුරුලේ
ඇය යන්න ගියා මැකිලා

ඇය යන්න ගියා මැකිලා
පිණි කඳුලක් මල් පෙති අග තවරා
මිහිදුම් සළුවෙන් මුහුණ වසා
යළි කවදාවත් හමු නොවනා බව
මද පවනක් හිස අත ගා කීවද
අදහා ගන්නට නොහැකිය කිසි දින
ඇය යළි නොඑතැයි ගිම්හානෙට පෙර
යන්න ගියා මැකිලා

වන සිරසක තුරු සෙවනැලි අතරෙ
ගී ගයමින් හිඳ මා තුරුලේ
ඇය යන්න ගියා මැකිලා
ඇය යන්න ගියා මැකිලා
පිණි කඳුලක් මල් පෙති අග තවරා
මිහිදුම් සළුවෙන් මුහුණ වසා",සුනිල් සරත් පෙරේරා,"[{""songPart"":""ඇය යන්න ගියා මැකිලා"",""type"":""මිශ්‍ර රූපකය"",""sourceDomain"":""මැකිලා"",""targetDomain"":""නැවත නොඑන්නම ගිය"",""interpretation"":""ඇය නැවත නොඑන්නම ගිය""},{""songPart"":""පිණි කඳුලක් මල් පෙති අග තවරා"",""type"":""සම්මත රූපකය"",""sourceDomain"":""මල් පෙති"",""targetDomain"":""ඇස් පිහාටු"",""interpretation"":""හඩවා යන්න ගියා""},{""songPart"":""මිහිදුම් සළුවෙන් මුහුණ වසා"",""type"":""දෘෂ්ය රූපකය"",""sourceDomain"":""මිහිදුම් සළුවෙන්"",""targetDomain"":""කදුළු"",""interpretation"":""කදුළු වලින් පිරුන මුහුණ""}]"
